Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Price_Per_Box
Husein Augar,India,Peanut Butter Cubes,2022-05-09,4522.0,5,5,2022,904.4
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,329.0,109,8,2022,3.018348623853211
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,3458.0,294,7,2022,11.761904761904763
Brien Boise,India,70% Dark Bites,2022-04-14,4641.0,413,4,2022,11.23728813559322
Jehu Rudeforth,Canada,White Choc,2022-01-25,4627.0,136,1,2022,34.02205882352941
Andria Kimpton,Australia,Almond Choco,2022-04-25,3192.0,175,4,2022,18.24
Dotty Strutley,Canada,After Nines,2022-01-17,252.0,237,1,2022,1.0632911392405062
Karlen McCaffrey,USA,Eclairs,2022-08-15,868.0,125,8,2022,6.944
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,210.0,16,6,2022,13.125
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,7007.0,135,6,2022,51.903703703703705
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,5845.0,91,2,2022,64.23076923076923
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,1372.0,614,2,2022,2.234527687296417
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,8428.0,216,1,2022,39.01851851851852
Camilla Castle,UK,Mint Chip Choco,2022-05-26,4977.0,317,5,2022,15.700315457413248
Brien Boise,USA,70% Dark Bites,2022-04-14,1694.0,21,4,2022,80.66666666666667
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326.0,154,8,2022,28.09090909090909
Mallorie Waber,Australia,Eclairs,2022-08-22,9527.0,222,8,2022,42.914414414414416
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766.0,157,7,2022,68.5732484076433
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,1288.0,27,4,2022,47.7037037037037
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879.0,350,5,2022,13.94
Ches Bonnell,USA,Milk Bars,2022-07-21,2408.0,157,7,2022,15.337579617834395
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,3094.0,468,8,2022,6.611111111111111
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231.0,130,6,2022,55.62307692307692
Oby Sorrel,India,85% Dark Bars,2022-07-05,8981.0,130,7,2022,69.08461538461539
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,7.0,518,4,2022,0.013513513513513514
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372.0,105,8,2022,13.066666666666666
Jan Morforth,UK,50% Dark Bites,2022-01-12,5250.0,293,1,2022,17.918088737201366
Gunar Cockshoot,Canada,White Choc,2022-08-11,7560.0,15,8,2022,504.0
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012.0,384,1,2022,13.052083333333334
Husein Augar,UK,Baker's Choco Chips,2022-04-29,3038.0,135,4,2022,22.503703703703703
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.0,92,7,2022,11.945652173913043
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,7413.0,4,3,2022,1853.25
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397.0,239,2,2022,22.581589958158997
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,2303.0,33,1,2022,69.78787878787878
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,1141.0,518,1,2022,2.2027027027027026
Beverie Moffet,India,Eclairs,2022-06-09,10325.0,147,6,2022,70.23809523809524
Andria Kimpton,India,Eclairs,2022-05-16,2149.0,84,5,2022,25.583333333333332
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362.0,94,6,2022,131.51063829787233
Roddy Speechley,UK,Raspberry Choco,2022-01-28,12635.0,194,1,2022,65.12886597938144
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,2443.0,216,7,2022,11.310185185185185
Barr Faughny,Canada,Drinking Coco,2022-04-18,6237.0,247,4,2022,25.251012145748987
Oby Sorrel,USA,Milk Bars,2022-06-14,1736.0,79,6,2022,21.974683544303797
Oby Sorrel,UK,Orange Choco,2022-04-15,7315.0,237,4,2022,30.864978902953588
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,4935.0,63,5,2022,78.33333333333333
Gigi Bohling,India,White Choc,2022-04-13,1393.0,172,4,2022,8.098837209302326
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381.0,408,8,2022,8.286764705882353
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933.0,233,8,2022,12.587982832618026
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836.0,59,4,2022,65.01694915254237
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,8022.0,123,8,2022,65.21951219512195
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371.0,229,1,2022,1.6200873362445414
Kelci Walkden,Canada,After Nines,2022-01-13,16702.0,198,1,2022,84.35353535353535
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,13258.0,32,5,2022,414.3125
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058.0,236,2,2022,8.720338983050848
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,10192.0,67,5,2022,152.11940298507463
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,7140.0,438,2,2022,16.301369863013697
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,9835.0,167,5,2022,58.89221556886228
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,5775.0,135,6,2022,42.77777777777778
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749.0,148,3,2022,5.0608108108108105
Camilla Castle,Canada,Orange Choco,2022-02-17,7770.0,54,2,2022,143.88888888888889
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502.0,64,7,2022,85.96875
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223.0,181,3,2022,34.38121546961326
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,3507.0,114,8,2022,30.763157894736842
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600.0,181,1,2022,30.939226519337016
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721.0,151,5,2022,4.774834437086093
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615.0,137,6,2022,48.284671532846716
Barr Faughny,USA,White Choc,2022-05-05,7420.0,163,5,2022,45.52147239263804
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164.0,84,3,2022,37.666666666666664
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114.0,140,2,2022,65.1
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,5404.0,187,5,2022,28.898395721925134
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990.0,169,1,2022,23.609467455621303
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924.0,12,6,2022,1243.6666666666667
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091.0,194,7,2022,36.55154639175258
Roddy Speechley,USA,Milk Bars,2022-05-16,2807.0,252,5,2022,11.13888888888889
Jan Morforth,India,After Nines,2022-03-14,6496.0,168,3,2022,38.666666666666664
Gunar Cockshoot,USA,After Nines,2022-08-15,3738.0,261,8,2022,14.32183908045977
Ches Bonnell,India,Orange Choco,2022-02-16,1190.0,256,2,2022,4.6484375
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,8379.0,43,6,2022,194.86046511627907
Barr Faughny,Australia,Raspberry Choco,2022-05-27,9268.0,100,5,2022,92.68
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,1029.0,98,6,2022,10.5
Wilone O'Kielt,India,Eclairs,2022-02-25,3549.0,76,2,2022,46.69736842105263
Wilone O'Kielt,India,After Nines,2022-08-04,12026.0,262,8,2022,45.900763358778626
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303.0,244,6,2022,9.438524590163935
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,13405.0,12,4,2022,1117.0833333333333
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,14763.0,113,7,2022,130.64601769911505
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894.0,48,1,2022,268.625
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302.0,131,2,2022,63.37404580152672
Curtice Advani,UK,Drinking Coco,2022-07-12,455.0,174,7,2022,2.6149425287356323
Kelci Walkden,India,Raspberry Choco,2022-06-16,8183.0,254,6,2022,32.21653543307087
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645.0,284,4,2022,5.792253521126761
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143.0,67,2,2022,46.91044776119403
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,5873.0,249,5,2022,23.586345381526105
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298.0,313,4,2022,36.09584664536741
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,12425.0,167,6,2022,74.40119760479043
Oby Sorrel,UK,White Choc,2022-06-27,1715.0,286,6,2022,5.996503496503497
Barr Faughny,India,After Nines,2022-07-29,8190.0,109,7,2022,75.13761467889908
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,4991.0,166,6,2022,30.066265060240966
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85,1,2022,182.24705882352941
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096.0,142,3,2022,35.88732394366197
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063.0,104,1,2022,67.91346153846153
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275.0,115,6,2022,19.782608695652176
Barr Faughny,Canada,Orange Choco,2022-06-30,7602.0,18,6,2022,422.3333333333333
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200.0,80,7,2022,52.5
Oby Sorrel,India,Spicy Special Slims,2022-06-08,11137.0,88,6,2022,126.55681818181819
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388.0,212,8,2022,15.981132075471699
Kaine Padly,Australia,After Nines,2022-04-08,6832.0,306,4,2022,22.326797385620914
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181,8,2022,18.988950276243095
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301.0,65,8,2022,4.630769230769231
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158,1,2022,11.829113924050633
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,17465.0,271,8,2022,64.44649446494465
Madelene Upcott,USA,Almond Choco,2022-05-31,10143.0,24,5,2022,422.625
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626.0,10,7,2022,362.6
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346.0,304,3,2022,11.006578947368421
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88,7,2022,71.82954545454545
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,9345.0,133,8,2022,70.26315789473684
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,15008.0,165,3,2022,90.95757575757575
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609.0,150,4,2022,50.72666666666667
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180,2,2022,57.4
Mallorie Waber,India,White Choc,2022-07-26,819.0,213,7,2022,3.8450704225352115
Brien Boise,UK,Drinking Coco,2022-01-27,5754.0,133,1,2022,43.26315789473684
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28.0,446,4,2022,0.06278026905829596
Oby Sorrel,USA,Almond Choco,2022-05-19,6440.0,141,5,2022,45.673758865248224
Husein Augar,India,Eclairs,2022-02-09,4956.0,58,2,2022,85.44827586206897
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352.0,58,5,2022,40.55172413793103
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76,1,2022,51.39473684210526
Beverie Moffet,India,White Choc,2022-07-04,1813.0,296,7,2022,6.125
Ches Bonnell,India,Almond Choco,2022-04-13,11788.0,73,4,2022,161.4794520547945
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119,1,2022,48.470588235294116
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401.0,78,4,2022,30.78205128205128
Camilla Castle,USA,Eclairs,2022-06-10,4515.0,392,6,2022,11.517857142857142
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51,8,2022,211.64705882352942
Van Tuxwell,India,After Nines,2022-06-27,13706.0,207,6,2022,66.21256038647343
Husein Augar,India,Orange Choco,2022-06-30,4361.0,40,6,2022,109.025
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100,8,2022,101.22
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57,8,2022,17.43859649122807
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42,8,2022,54.0
Gigi Bohling,Australia,Orange Choco,2022-03-09,574.0,156,3,2022,3.6794871794871793
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792.0,23,4,2022,77.91304347826087
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,4844.0,539,6,2022,8.987012987012987
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938.0,158,2,2022,5.936708860759493
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22,8,2022,221.77272727272728
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73,2,2022,124.75342465753425
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187.0,27,5,2022,451.3703703703704
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670.0,64,6,2022,88.59375
Gigi Bohling,USA,Milk Bars,2022-06-16,476.0,133,6,2022,3.5789473684210527
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,2681.0,149,3,2022,17.993288590604028
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434,3,2022,3.532258064516129
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85,1,2022,114.88235294117646
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994.0,118,7,2022,8.423728813559322
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318.0,299,3,2022,11.096989966555183
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214.0,35,5,2022,120.4
Oby Sorrel,USA,Drinking Coco,2022-03-11,7714.0,44,3,2022,175.3181818181818
Brien Boise,New Zealand,Eclairs,2022-07-11,4690.0,299,7,2022,15.68561872909699
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062.0,62,8,2022,210.67741935483872
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488.0,200,2,2022,62.44
Curtice Advani,USA,After Nines,2022-04-13,14147.0,235,4,2022,60.2
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363,2,2022,0.1349862258953168
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68,3,2022,149.98529411764707
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389.0,26,4,2022,438.03846153846155
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,3584.0,200,4,2022,17.92
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264,3,2022,47.27651515151515
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107.0,175,6,2022,12.04
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352,2,2022,24.44034090909091
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483.0,183,4,2022,40.89071038251366
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381.0,417,2,2022,8.107913669064748
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030.0,146,8,2022,13.904109589041095
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559.0,158,4,2022,41.5126582278481
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168,1,2022,64.41666666666667
Kaine Padly,UK,After Nines,2022-01-21,18697.0,176,1,2022,106.23295454545455
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172,8,2022,33.98255813953488
Kaine Padly,UK,Drinking Coco,2022-01-27,2317.0,224,1,2022,10.34375
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150.0,68,2,2022,149.26470588235293
Dotty Strutley,USA,Raspberry Choco,2022-01-03,3437.0,46,1,2022,74.71739130434783
Karlen McCaffrey,USA,White Choc,2022-08-24,4592.0,2,8,2022,2296.0
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,5691.0,417,2,2022,13.647482014388489
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158.0,109,2,2022,38.14678899082569
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684.0,81,3,2022,70.17283950617283
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693.0,350,6,2022,1.98
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546.0,142,4,2022,3.8450704225352115
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264,7,2022,16.147727272727273
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036.0,20,6,2022,51.8
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846.0,421,1,2022,32.888361045130644
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499.0,271,2,2022,9.22140221402214
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.0,204,6,2022,52.39705882352941
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,5768.0,235,8,2022,24.54468085106383
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226.0,46,1,2022,48.391304347826086
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262.0,15,4,2022,684.1333333333333
Barr Faughny,UK,Milk Bars,2022-03-02,3864.0,430,3,2022,8.986046511627906
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900.0,709,6,2022,6.91114245416079
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47,2,2022,111.70212765957447
Husein Augar,UK,After Nines,2022-07-05,3507.0,380,7,2022,9.228947368421053
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413.0,465,1,2022,15.941935483870967
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96,3,2022,84.94791666666667
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478.0,188,5,2022,13.180851063829786
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202,7,2022,12.232673267326733
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,1666.0,106,2,2022,15.716981132075471
Andria Kimpton,India,Orange Choco,2022-05-30,301.0,421,5,2022,0.7149643705463183
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400.0,27,4,2022,311.1111111111111
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45,2,2022,136.42222222222222
Kelci Walkden,Australia,Drinking Coco,2022-05-04,1288.0,60,5,2022,21.466666666666665
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077.0,77,6,2022,91.9090909090909
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,2317.0,464,7,2022,4.993534482758621
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63.0,60,6,2022,1.05
Jan Morforth,UK,Almond Choco,2022-07-06,9744.0,157,7,2022,62.06369426751592
Husein Augar,India,Raspberry Choco,2022-06-15,9954.0,154,6,2022,64.63636363636364
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260.0,239,4,2022,5.2719665271966525
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163,8,2022,2.8773006134969323
Marney O'Breen,UK,Drinking Coco,2022-03-29,973.0,28,3,2022,34.75
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,3647.0,76,7,2022,47.98684210526316
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96,2,2022,4.739583333333333
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,2520.0,156,5,2022,16.153846153846153
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106,7,2022,99.05660377358491
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235,8,2022,33.838297872340426
Kaine Padly,USA,85% Dark Bars,2022-06-22,483.0,259,6,2022,1.864864864864865
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872.0,126,7,2022,38.666666666666664
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,7756.0,85,8,2022,91.24705882352941
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,5446.0,132,6,2022,41.25757575757576
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594.0,91,3,2022,72.46153846153847
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,1470.0,167,4,2022,8.802395209580839
Curtice Advani,Canada,Eclairs,2022-05-06,721.0,203,5,2022,3.5517241379310347
Roddy Speechley,India,Drinking Coco,2022-05-31,4494.0,11,5,2022,408.54545454545456
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295,1,2022,9.064406779661017
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658.0,77,3,2022,8.545454545454545
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319,2,2022,3.5329153605015673
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364.0,196,1,2022,37.57142857142857
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102,3,2022,66.84313725490196
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776.0,312,5,2022,21.71794871794872
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55,8,2022,274.5272727272727
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612.0,82,4,2022,44.048780487804876
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710.0,260,4,2022,14.26923076923077
Oby Sorrel,Canada,Eclairs,2022-05-19,6111.0,591,5,2022,10.34010152284264
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702.0,24,1,2022,112.58333333333333
Mallorie Waber,New Zealand,After Nines,2022-05-04,483.0,228,5,2022,2.1184210526315788
Roddy Speechley,Canada,White Choc,2022-04-05,5887.0,268,4,2022,21.96641791044776
Andria Kimpton,India,After Nines,2022-01-17,952.0,68,1,2022,14.0
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173,3,2022,61.543352601156066
Dotty Strutley,Australia,White Choc,2022-07-05,6055.0,93,7,2022,65.10752688172043
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757.0,338,4,2022,25.90828402366864
Kaine Padly,Canada,Almond Choco,2022-08-12,6055.0,73,8,2022,82.94520547945206
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721.0,251,3,2022,2.8725099601593627
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589.0,229,5,2022,37.506550218340614
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,11781.0,91,5,2022,129.46153846153845
Brien Boise,USA,Raspberry Choco,2022-01-12,672.0,194,1,2022,3.463917525773196
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,12558.0,403,3,2022,31.161290322580644
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337.0,12,3,2022,694.75
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,8134.0,195,5,2022,41.712820512820514
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,8491.0,75,1,2022,113.21333333333334
Beverie Moffet,India,Almond Choco,2022-05-24,3066.0,96,5,2022,31.9375
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301.0,205,8,2022,1.4682926829268292
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,4410.0,323,5,2022,13.653250773993808
Jehu Rudeforth,USA,White Choc,2022-06-07,6559.0,119,6,2022,55.11764705882353
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574.0,217,7,2022,2.6451612903225805
Dotty Strutley,India,Eclairs,2022-07-28,2086.0,384,7,2022,5.432291666666667
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,5075.0,344,5,2022,14.752906976744185
Jehu Rudeforth,UK,Mint Chip Choco,2023-01-04,5902.13,178,1,2023,33.15803370786517
Van Tuxwell,India,85% Dark Bars,2023-08-01,8074.39,100,8,2023,80.7439
Gigi Bohling,India,Peanut Butter Cubes,2023-07-07,4666.18,100,7,2023,46.6618
Jan Morforth,Australia,Peanut Butter Cubes,2023-04-27,14103.4,350,4,2023,40.29542857142857
Jehu Rudeforth,UK,Peanut Butter Cubes,2023-02-24,14167.84,178,2,2023,79.59460674157303
Van Tuxwell,India,Smooth Sliky Salty,2023-06-06,5768.75,37,6,2023,155.91216216216216
Oby Sorrel,UK,99% Dark & Pure,2023-01-25,14673.2,175,1,2023,83.84685714285715
Gunar Cockshoot,Australia,After Nines,2023-03-24,3249.23,78,3,2023,41.65679487179487
Jehu Rudeforth,New Zealand,50% Dark Bites,2023-04-20,4526.24,64,4,2023,70.7225
Brien Boise,Australia,99% Dark & Pure,2023-07-04,3166.56,98,7,2023,32.31183673469388
Rafaelita Blaksland,UK,Smooth Sliky Salty,2023-01-13,4866.39,65,1,2023,74.86753846153847
Barr Faughny,USA,Orange Choco,2023-03-10,4254.37,12,3,2023,354.5308333333333
Mallorie Waber,Canada,Eclairs,2023-01-13,1652.61,277,1,2023,5.96610108303249
Karlen McCaffrey,New Zealand,Drinking Coco,2023-07-28,171.49,163,7,2023,1.0520858895705523
Marney O'Breen,New Zealand,Peanut Butter Cubes,2023-08-03,8549.84,169,8,2023,50.59076923076923
Beverie Moffet,Australia,Organic Choco Syrup,2023-01-26,7807.74,355,1,2023,21.993633802816902
Van Tuxwell,Canada,Organic Choco Syrup,2023-02-14,4561.43,44,2,2023,103.66886363636364
Roddy Speechley,USA,Smooth Sliky Salty,2023-04-05,3041.12,148,4,2023,20.548108108108107
Beverie Moffet,Canada,Milk Bars,2023-02-16,9786.09,248,2,2023,39.460040322580646
Curtice Advani,UK,85% Dark Bars,2023-06-08,1131.25,175,6,2023,6.464285714285714
Brien Boise,Australia,Eclairs,2023-06-27,7484.07,94,6,2023,79.6177659574468
Gunar Cockshoot,USA,Spicy Special Slims,2023-02-17,1339.61,166,2,2023,8.069939759036144
Marney O'Breen,USA,After Nines,2023-05-30,5481.18,159,5,2023,34.47283018867925
Husein Augar,UK,Drinking Coco,2023-03-14,3275.4,120,3,2023,27.295
Kaine Padly,Australia,Eclairs,2023-02-28,7677.78,118,2,2023,65.06593220338983
Karlen McCaffrey,India,Fruit & Nut Bars,2023-01-26,189.37,315,1,2023,0.6011746031746031
Roddy Speechley,Canada,Spicy Special Slims,2023-02-09,1658.79,193,2,2023,8.594766839378238
Husein Augar,USA,Eclairs,2023-07-07,4168.93,122,7,2023,34.17155737704918
Dennison Crosswaite,New Zealand,White Choc,2023-07-05,10604.89,165,7,2023,64.2720606060606
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2023-06-15,5773.51,325,6,2023,17.764646153846154
Van Tuxwell,New Zealand,85% Dark Bars,2023-05-24,1838.78,121,5,2023,15.196528925619834
Rafaelita Blaksland,UK,99% Dark & Pure,2023-06-29,12643.1,150,6,2023,84.28733333333334
Wilone O'Kielt,Australia,Manuka Honey Choco,2023-05-11,4439.52,95,5,2023,46.731789473684216
Karlen McCaffrey,UK,Almond Choco,2023-06-30,7698.6,126,6,2023,61.1
Andria Kimpton,Canada,After Nines,2023-05-11,2222.3,77,5,2023,28.861038961038965
Roddy Speechley,USA,Manuka Honey Choco,2023-07-22,10959.02,302,7,2023,36.28814569536424
